20234126	12:41:33	 9e919dc6-495c-4813-a6f1-0ea4263696a1	 Error: Not Allowed by CORS	 OPTIONS	 /	 https://www.google.com 
20234126	12:41:33	 dbc6143f-bc8b-4510-a79d-919d128da64e	 Error: Not Allowed by CORS	 GET	 /	 https://www.google.com 
20231926	16:19:28	 2fcbd02a-7624-4ed3-9a03-759a6baf99ae	 ReferenceError: user is not defined	 GET	 /users	 undefined 
20232126	16:21:25	 57ed3b52-2a95-4db3-aad4-501a89f2e080	 ReferenceError: user is not defined	 GET	 /users	 undefined 
20232926	16:29:05	 163bf80f-5d61-455c-8ae0-3a4ca0a87b73	 ValidationError: User, validation failed: passwrod: please enter your password	 POST	 /users	 undefined 
20233026	16:30:33	 3dcc3967-02e4-4247-9987-7861e3ba8a65	 ValidationError: User, validation failed: passwrod: please enter your password	 POST	 /users	 undefined 
20233026	16:30:50	 0372495d-adc6-49c4-86d5-897f0a9321f8	 ValidationError: User, validation failed: passwrod: please enter your password	 POST	 /users	 undefined 
20233226	16:32:47	 47dced1c-a2ac-4eb5-89ee-5386dbdfb22b	 ValidationError: User, validation failed: passwrod: please enter your password	 POST	 /users	 undefined 
20233326	16:33:46	 536a5415-2808-4a65-98d7-8755215c3824	 ValidationError: User, validation failed: passwrod: please enter your password	 POST	 /users	 undefined 
20233526	16:35:26	 2f1c6175-d2ca-49bc-8dae-007fe23828d6	 ValidationError: User, validation failed: passwrod: please enter your password	 POST	 /users	 undefined 
20234226	16:42:00	 41ff52f8-08cb-4076-be98-5f9f84faba7b	 ValidationError: User, validation failed: passwrod: please enter your password	 POST	 /users	 undefined 
20234426	16:44:39	 2380d524-2414-4494-88f0-bd5ed514b358	 ReferenceError: user is not defined	 GET	 /users	 undefined 
20234626	16:46:12	 7f277c57-474c-4aa8-a5eb-9743ab5ec644	 ReferenceError: user is not defined	 GET	 /users	 undefined 
20235026	16:50:50	 a2746544-52b6-49ed-8e60-b42975682c3d	 ValidationError: User, validation failed: passwrod: please enter your password	 POST	 /users	 undefined 
20235126	16:51:46	 72d92eb7-b045-428d-b55d-041dc432523c	 ValidationError: User, validation failed: passwrod: please enter your password	 POST	 /users	 undefined 
